Action,Time,ISIN,Ticker,Name,ID,No. of shares,Price / share,Currency (Price / share),Exchange rate,Result,Currency (Result),Total,Currency (Total),Withholding tax,Currency (Withholding tax),Stamp duty reserve tax,Currency (Stamp duty reserve tax),Currency conversion fee,Currency (Currency conversion fee),French transaction tax,Currency (French transaction tax)
Market buy,2025-04-09 19:09:43,US0846707026,BRK.B,"Berkshire Hathaway (Class B)",EOF30860372000,0.2430346000,516.4100000000,USD,1.28263155,,,98.00,"GBP",,,,,0.15,"GBP",,
Market buy,2025-04-10 07:00:00,ES0144580Y14,IBE,"Iberdrola",EOF30862127773,4.9401260000,14.2100000000,EUR,1.17174412,,,60.00,"GBP",,,,,0.09,"GBP",,
Market buy,2025-04-10 07:03:07,DE0007236101,SIE,"Siemens",EOF30862138269,0.3536167000,198.5200000000,EUR,1.17175742,,,60.00,"GBP",,,,,0.09,"GBP",,
Market buy,2025-04-10 07:03:07,DE0007037129,RWE,"RWE",EOF30862138353,0.5435110000,32.2900000000,EUR,1.17156009,,,15.00,"GBP",,,,,0.02,"GBP",,
Market buy,2025-04-10 07:05:28,GB0009697037,BAB,"Babcock International",EOF30862144934,8.1951258000,728.5000000000,GBX,100.00000000,,,60.00,"GBP",,,0.30,"GBP",,,,
Market buy,2025-04-10 07:05:29,GB0009697037,BAB,"Babcock International",EOF30862145250,33.4634308000,728.5000000000,GBX,100.00000000,,,245.00,"GBP",,,1.22,"GBP",,,,
Market buy,2025-04-10 07:06:13,CH0012221716,ABBN,"ABB",EOF30862149815,1.1273040000,43.9200000000,CHF,1.10196286,,,45.00,"GBP",,,,,0.07,"GBP",,
Market buy,2025-04-10 07:06:14,CH0012221716,ABBN,"ABB",EOF30862149863,3.6758310000,44.0000000000,CHF,1.10189783,,,147.00,"GBP",,,,,0.22,"GBP",,
Market buy,2025-04-10 07:07:26,FR0000121972,SU,"Schneider Electric",EOF30900052862,0.2498222000,209.8500000000,EUR,1.17151259,,,45.00,"GBP",,,,,0.07,"GBP",0.18,"GBP"
Market buy,2025-04-10 07:07:34,NL0010273215,ASML,"ASML",EOF30900053017,0.8279244000,623.1000000000,EUR,1.17154856,,,441.00,"GBP",,,,,0.66,"GBP",,
Market buy,2025-04-10 07:07:34,NL0010273215,ASML,"ASML",EOF30900053097,0.1408034000,623.1000000000,EUR,1.17151286,,,75.00,"GBP",,,,,0.11,"GBP",,
Market sell,2025-04-11 15:05:20,US0231351067,AMZN,"Amazon",EOF30954134272,3.0305323000,179.0000000000,USD,1.30516392,-25.83,"GBP",415.01,"GBP",,,,,0.62,"GBP",,
Market sell,2025-04-11 15:05:20,US02079K3059,GOOGL,"Alphabet (Class A)",EOF30954134268,4.8607985000,154.8000000000,USD,1.30513868,-12.32,"GBP",575.67,"GBP",,,,,0.86,"GBP",,
Market sell,2025-04-11 15:05:20,GB0009697037,BAB,"Babcock International",EOF30954134270,33.4634308000,687.5000000000,GBX,100.00000000,-13.72,"GBP",230.06,"GBP",,,,,,,,
Market sell,2025-04-11 15:05:20,US5949181045,MSFT,"Microsoft",EOF30954134274,1.1420748000,381.1100000000,USD,1.30515495,-9.36,"GBP",332.99,"GBP",,,,,0.50,"GBP",,
